section id,recording id,timestamp [ns],detected marker IDs,tl x [px],tl y [px],tr x [px],tr y [px],br x [px],br y [px],bl x [px],bl y [px]
65343790-189b-4431-8c77-1db4bd38120e,7173e985-be36-429d-9926-e0f29904d037,1754762020951220000,"""0;1;2;3""",888.299,401.765,688.374,406.223,765.404,415.182,802.353,395.233
65343790-189b-4431-8c77-1db4bd38120e,7173e985-be36-429d-9926-e0f29904d037,1754762020984560000,"""0;1;2;3""",423.555,300.357,636.522,366.759,735.168,419.01,768.218,399.585
65343790-189b-4431-8c77-1db4bd38120e,7173e985-be36-429d-9926-e0f29904d037,1754762021017910000,"""0;1;2;3""",638.559,306.05,688.93,350.897,719.133,410.495,754.026,388.045
65343790-189b-4431-8c77-1db4bd38120e,7173e985-be36-429d-9926-e0f29904d037,1754762021051250000,"""0;1;2;3""",884.258,397.491,697.967,380.957,768.577,401.433,808.564,379.99
65343790-189b-4431-8c77-1db4bd38120e,7173e985-be36-429d-9926-e0f29904d037,1754762021084600000,"""0;1;2;3""",679.162,301.702,709.134,340.481,722.317,398.156,756.924,375.833
65343790-189b-4431-8c77-1db4bd38120e,7173e985-be36-429d-9926-e0f29904d037,1754762021117940000,"""0;1;2;3""",667.167,309.497,705.126,342.556,731.025,391.081,760.245,374.49
65343790-189b-4431-8c77-1db4bd38120e,7173e985-be36-429d-9926-e0f29904d037,1754762021151280000,"""0;1;2;3""",671.441,305.344,708.341,337.95,733.486,386.156,762.49,369.74
65343790-189b-4431-8c77-1db4bd38120e,7173e985-be36-429d-9926-e0f29904d037,1754762021184620000,"""0;1;2;3""",671.866,301.314,709.215,333.988,734.892,382.184,763.769,365.862
65343790-189b-4431-8c77-1db4bd38120e,7173e985-be36-429d-9926-e0f29904d037,1754762021217960000,"""0;1;2;3""",672.72,298.931,709.658,331.409,735.074,379.474,763.831,363.209
65343790-189b-4431-8c77-1db4bd38120e,7173e985-be36-429d-9926-e0f29904d037,1754762021251310000,"""0;1;2;3""",668.43,296.86,707.456,329.969,734.745,378.43,763.55,362.051
65343790-189b-4431-8c77-1db4bd38120e,7173e985-be36-429d-9926-e0f29904d037,1754762021284650000,"""0;1;2;3""",671.629,297.016,708.588,329.523,734.096,377.675,762.789,361.372
65343790-189b-4431-8c77-1db4bd38120e,7173e985-be36-429d-9926-e0f29904d037,1754762021318000000,"""0;1;2;3""",688.862,284.711,717.339,322.756,729.438,379.972,763.68,358.048
65343790-189b-4431-8c77-1db4bd38120e,7173e985-be36-429d-9926-e0f29904d037,1754762021351340000,"""0;1;2;3""",678.887,283.381,713.982,323.538,732.172,381.598,766.515,359.738
65343790-189b-4431-8c77-1db4bd38120e,7173e985-be36-429d-9926-e0f29904d037,1754762021384680000,"""0;1;2;3""",692.111,285.889,721.219,324.201,733.975,381.549,768.13,359.691
65343790-189b-4431-8c77-1db4bd38120e,7173e985-be36-429d-9926-e0f29904d037,1754762021418030000,"""0;1;2;3""",696.353,287.746,724.178,325.549,735.757,382.545,769.819,360.807
65343790-189b-4431-8c77-1db4bd38120e,7173e985-be36-429d-9926-e0f29904d037,1754762021451360000,"""0;1;2;3""",695.093,283.826,724.585,325.335,734.808,385.876,772.411,362.478
65343790-189b-4431-8c77-1db4bd38120e,7173e985-be36-429d-9926-e0f29904d037,1754762021484710000,"""0;1;2;3""",679.413,303.423,716.47,336.241,741.945,384.551,770.67,368.398
65343790-189b-4431-8c77-1db4bd38120e,7173e985-be36-429d-9926-e0f29904d037,1754762021518050000,"""0;1;2;3""",688.954,286.623,720.688,328.997,732.853,389.934,770.569,366.422
65343790-189b-4431-8c77-1db4bd38120e,7173e985-be36-429d-9926-e0f29904d037,1754762021551400000,"""0;1;2;3""",894.99,385.831,710.161,367.184,780.623,388.505,820.22,367.462
65343790-189b-4431-8c77-1db4bd38120e,7173e985-be36-429d-9926-e0f29904d037,1754762021584740000,"""0;1;2;3""",894.342,387.006,703.804,368.518,776.501,389.694,816.2,368.581
65343790-189b-4431-8c77-1db4bd38120e,7173e985-be36-429d-9926-e0f29904d037,1754762021618080000,"""0;1;2;3""",886.688,386.841,702.0,369.183,772.213,390.083,811.851,368.889
65343790-189b-4431-8c77-1db4bd38120e,7173e985-be36-429d-9926-e0f29904d037,1754762021651430000,"""0;1;2;3""",666.264,294.888,701.662,335.18,720.028,393.345,754.412,371.148
65343790-189b-4431-8c77-1db4bd38120e,7173e985-be36-429d-9926-e0f29904d037,1754762021684760000,"""0;1;2;3""",658.573,309.722,696.736,342.75,723.069,391.298,751.99,374.618
65343790-189b-4431-8c77-1db4bd38120e,7173e985-be36-429d-9926-e0f29904d037,1754762021718110000,"""0;1;2;3""",676.093,293.109,705.473,334.753,715.389,395.569,753.239,371.644
65343790-189b-4431-8c77-1db4bd38120e,7173e985-be36-429d-9926-e0f29904d037,1754762021751450000,"""0;1;2;3""",678.21,293.664,706.854,335.151,715.971,395.921,753.945,371.982
65343790-189b-4431-8c77-1db4bd38120e,7173e985-be36-429d-9926-e0f29904d037,1754762021784800000,"""0;1;2;3""",670.063,304.085,702.724,339.966,721.369,393.476,752.711,373.76
65343790-189b-4431-8c77-1db4bd38120e,7173e985-be36-429d-9926-e0f29904d037,1754762021818140000,"""0;1;2;3""",659.215,310.103,697.939,343.396,724.667,392.121,753.722,375.425
65343790-189b-4431-8c77-1db4bd38120e,7173e985-be36-429d-9926-e0f29904d037,1754762021851480000,"""0;1;2;3""",659.688,309.872,697.743,343.002,723.826,391.68,752.921,374.94
65343790-189b-4431-8c77-1db4bd38120e,7173e985-be36-429d-9926-e0f29904d037,1754762021884830000,"""0;1;2;3""",657.281,310.119,695.713,343.316,722.135,392.038,751.258,375.242
